タイムスタンプ,In which previous funds have you voted?,Other than voting have you actively participated in Cardano Project Catalyst?,"Other than English and Japaneses, which languages you do speak or believe are important to the Catalyst Community?",Please give us an indication of your age group.,The role of the dRep was recently announced. Do you see value in being able to assign your vote to a proxy?,In relation to the dRep position please briefly provide your thoughts and opinion about this new role. ,Did you vote in Fund 7,"In relation to your Fund 7 vote, how many proposals did you vote positive for?",What attracted you to certain proposals that you voted up?,How many proposals did you vote negative for?,What attracted you to certain proposals that you voted down?,Is there anything in a proposal that will lead to an automatic down vote?,How much time did you spend on each proposal when considering it for your vote?,How much time did you spend on each proposal when considering it for your vote?,Do you have an Ideascale account?,"In relation to Fund 6 voting, did you read the proposals you voted on in Ideascale.",How important is getting rewarded for voting to you?,"In your opinion, the amount of voting reward is...",How much weight do you give to Community Advisor scores?,Please add any comments about the CA score and process below:,How much voting power do you control? (If you wish to answer and stay anonymous you can choose not to provide an email address.),How many wallets do you vote with?,Do you vote on behalf of others?,What are your thoughts about 1 ADA equals 1 Vote and the risk of forming a plutocracy inside Cardano?,"If there was a way to get ""expert ballots"" and ""voter advice"" that provide direction on your own voting choices, would you use them?",How many minutes in total did you spend voting in Fund 6? (please use numbers only eg 2 hours = 120),In relation to voting would you prefer to spend more lore less time?,How would you rate your general experience with voting in Catalyst Fund 6?,"If you have participated in any previous funds, did you perceive any improvement in the general process?",Give a brief run down of your voting process.,"以前のFundよりも改善されたと思う点を教えてください。(Did your voting method change from previous funds? If yes, please explain)",さらに改善して欲しい点を教えてください。(Is there anything about the voting process you had difficulties with or you think could do with improvement?),あなたは、どのように投票先を見つけましたか？ (What are the main way(s) you found out about the proposals you voted up.),あなたは日本専用カテゴリーの提案に投票を行いましたか？ (Did you vote in the F7: Connecting Japan/日本 Community Challenge?),そのうち、いくつの提案に投票しましたか？(How many Proposal did you vote for in the Japanese ),以下の中で、あなたが最も必要としているCatalystの改善点はどれですか？(In relation to Project Catalyst please indicate if you think the follow are of current and major importance.),今回実施した、この投票者参加調査アンケート(報酬付き)は重要だと思いますか？(How would you rate the importance of this or surveys like this?),今回のアンケート調査の質問内容について、どのように評価しますか？(How would you rate our execution of this survey?),"このアンケート調査について、あなたの意見をお聞かせください。(Do you have any comments, feedback or suggestions about this survey?)",このアンケート調査はどのように知りましたか？(How did you find out about the survey?),仮に、回答協力の報酬が無かった場合、あなたがこの調査に協力してくれた可能性はどのくらいありますか？(How likely are you to participate in a voter survey if it was not incentivized?)
2022/03/18 19:04:45,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,55 - 64,Yes,THERE MAY BEMY PEOPLE WHO HAS NO INTEREST AND WILL TO VOTE.,Yes,21 - 100,THE INFORMATION ON APP ARE CONVENIENENT FOR MY JUDGEMENT,0,EVALUATION SCORE,Yes,5分未満 (less than 5 min),3,No,たまに (Rarely),3,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),heipfer,回答を控えます (I prefer not to say),1,No,unavoidable,たぶん (Maybe),90,2,3,4,Select the Project and Lastly Vote,Each Project is Easy to Be Recognized on App,Nothing Special,App,Yes,3,自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other),4,4,I wish this result woold be Benefice On Next Round,The Twitter Thread of Japan Ambassador Yuta,4
2022/03/19 12:13:55,"Fund 7, Fund 5, Fund 4, Fund 3, Fund 2","いいえ、投票だけです (No, I only vote.)",nothing,45 - 54,Yes,It would be helpful if there was an agent's evaluation system.,Yes,6 - 20,Refer to the opinion of the community,0,I haven't voted,Yes,5分未満 (less than 5 min),3,No,一度もない (Never),4,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),I do not understand,> 500k,1,Yes,I can't imagine what risks involve.,Yes,0,1,4,2,"We are voting and voting with reference to the community's opinion. I don't have the ability to understand the content accurately, so I don't vote for NO.",I do not understand.,"Anyway, the number of suggestions is too large and it is difficult to understand because it is English.",Refer to the community,Yes,7,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,"If my opinion can help me a little, I am very honored for me who wants the development of cardano.",Yuta's LINE post,3
2022/03/20 11:18:40,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",特にありません。,25 - 34,Yes,"At present, many catalists don't understand
I think it would be better for the future in the future for a SPO who has some understanding.",Yes,1 - 5,I voted for Japanese people.,0,I did what was introduced in Optia.,Yes,5分未満 (less than 5 min),2,No,一度もない (Never),5,2,いつも評価に従って投票している (I rely entirly on them),Nothing in particular.,25k - 50k,1,No,"In this case, the whales of the whales will increase, and I feel that it is not very voting. I think it is better to vote for each person.",Yes,20,2,1,3,I'm voting what was introduced in Optia.,Nothing in particular.,I want to read it in Japanese.,I was told by other voters (from Other Voters),Yes,10,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,4,I would like to continue to conduct such a questionnaire in the future and think about catalist voting.,I knew it in Optia.,5
2022/03/20 11:29:43,"Fund 7, Fund 6, Fund 5, Fund 4","いいえ、投票だけです (No, I only vote.)",,55 - 64,Yes,,Yes,6 - 20,I can only read what is written in English that is easy to understand because I can only sympathize with Japan,1 - 5,especially,Yes,5分未満 (less than 5 min),3,No,一度もない (Never),4,2,あまり参考にしていない (I don't pay too much attention to them. They are not very helpful.),"I think the values ​​will change due to the difference in culture, so everything is not helpful",50k - 100k,2,Yes,It can't be helped because it's a contribution,たぶん (Maybe),60,2,3,4,Vote after seeing the title and confirming the contents,Category division is easy to understand,I want you to put it in because it is an automatic translation (can be an about translation),"Directly from The Proposer, which was taught by other voters (from Other Voters)",Yes,8,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",4,3,I'm glad if I can contribute a little,With LINE open chat,5
2022/03/20 11:51:44,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",なし,45 - 54,No,It is going backwards to the diversification.,Yes,1 - 5,Writing in LINE Group,0,none,Yes,30分未満 (less than 30 mins),3,Yes,それなりに (Sometimes),4,1,いつも評価に従って投票している (I rely entirly on them),I do not understand.,100k - 500k,3つ以上 (3 or more),No,nothing special,Yes,60,1,4,3,With a smartphone?,Did the bugs decrease?,Answer only on PC,"From the IDEASCALE site (IDEASCALE), Proposal PR Meetup (IDEAFEST by Swarm)",Yes,3,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",5,4,I want you to continue.,LINE group,1
2022/03/20 11:57:50,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",なし,45 - 54,No,Is there any fraud?,Yes,1 - 5,LINE group,0,nothing special,Yes,30分未満 (less than 30 mins),4,Yes,大体は (Usually),5,1,いつも評価に従って投票している (I rely entirly on them),Check on SNS,100k - 500k,3つ以上 (3 or more),No,nothing special,Yes,60,1,4,4,smartphone?,The operation has become faster.,Answer only on PC,"From the IDEASCALE site (IDEASCALE), Proposal PR Meetup (IDEAFEST by Swarm)",Yes,3,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",5,4,I want you to continue.,LINE group,1
2022/03/20 12:01:31,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",なし,45 - 54,Yes,,Yes,1 - 5,LINE group,0,LINE group,Yes,30分未満 (less than 30 mins),4,Yes,それなりに (Sometimes),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,100k - 500k,3つ以上 (3 or more),No,,Yes,30,1,4,4,On a smartphone,The operation has become faster.,Answer only on PC,"From the IDEASCALE site (IDEASCALE), Proposal PR Meetup (IDEAFEST by Swarm)",Yes,3,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",5,4,,,1
2022/03/20 12:05:54,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,,Yes,1 - 5,LINE group,0,LINE group,Yes,30分未満 (less than 30 mins),4,Yes,大体は (Usually),5,1,いつも評価に従って投票している (I rely entirly on them),,50k - 100k,3つ以上 (3 or more),No,,Yes,60,1,4,4,On a smartphone,The operation has become faster.,Answer only on PC,"From the IDEASCALE site (IDEASCALE), Proposal PR Meetup (IDEAFEST by Swarm)",Yes,3,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",4,4,,,1
2022/03/20 12:09:25,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,,Yes,1 - 5,LINE group,0,LINE group,Yes,30分未満 (less than 30 mins),4,Yes,それなりに (Sometimes),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,100k - 500k,3つ以上 (3 or more),No,,Yes,50,1,4,4,On a smartphone,The operation has become faster.,Answer only on PC,"From the IDEASCALE site (IDEASCALE), Proposal PR Meetup (IDEAFEST by Swarm)",Yes,3,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,4,,,1
2022/03/20 12:13:02,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,,Yes,1 - 5,LINE group,0,LINE group,Yes,30分未満 (less than 30 mins),4,Yes,大体は (Usually),5,1,いつも評価に従って投票している (I rely entirly on them),,100k - 500k,3つ以上 (3 or more),No,,No,50,1,4,4,smartphone,The operation has become faster.,Answer only on PC,"From the IDEASCALE site (IDEASCALE), Proposal PR Meetup (IDEAFEST by Swarm)",Yes,3,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",5,4,,,1
2022/03/20 12:16:29,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,,Yes,1 - 5,LINE group,0,LINE group,Yes,30分未満 (less than 30 mins),4,Yes,大体は (Usually),5,1,いつも評価に従って投票している (I rely entirly on them),,100k - 500k,3つ以上 (3 or more),No,,Yes,50,1,4,4,smartphone,The operation has become faster.,Answer only on PC,"From the IDEASCALE site (IDEASCALE), Proposal PR Meetup (IDEAFEST by Swarm)",Yes,3,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",5,4,,,1
2022/03/20 18:16:43,"Fund 7, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",中国語,18 - 24,Yes,I think it's good,Yes,1 - 5,title,1 - 5,title,Yes,5分未満 (less than 5 min),4,No,大体は (Usually),5,2,いつも評価に従って投票している (I rely entirly on them),I think it's good,500 - 999,2,Yes,It is advantageous to have many,Yes,130,2,4,5,Easy -to -understand words,Ease of seeing,Button operation,From the proposal PR Meet Up (Ideafest by Swarm),Yes,8,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,5,,LINE,5
2022/03/21 19:38:12,"Fund 7, Fund 5, Fund 3","いいえ、投票だけです (No, I only vote.)",特になし,45 - 54,No,I hope it would have been a good idea if there was an explanation properly,Yes,1 - 5,"I don't know well, so it's popular",0,What seems to be popular,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),5分未満 (less than 5 min),3,No,一度もない (Never),5,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),I don't understand,回答を控えます (I prefer not to say),1,No,It is difficult to understand for those who do not understand Japanese or system.,たぶん (Maybe),10,2,3,3,Choose that seems to be appropriate,I do not understand,Japanese,From the IDEASCALE site (IDEASCALE),そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),0,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,4,I think it should be reflected,FB community,1
2022/03/22 22:31:10,"Fund 7, Fund 6","はい、提案者としても参加しました (Yes, I'm a proposer.)",,18 - 24,Yes,I think it is necessary for voters who are busy working and do not have time to consider the contents of the proposal.,Yes,6 - 20,I chose a list of proposals created by yuta.,0,I chose a list of proposals created by yuta.,Yes,30分未満 (less than 30 mins),5,Yes,毎回 (Always),4,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),I think the evaluation items should be more subdivided.,"10k - 25k (10,000~25,000枚)",1,Yes,I think the voting power of the holder with more than 1 million ADA should be limited.,Yes,300,1,4,5,"After picking up the suggestions that I would like to vote in advance, I voted together in the app.",Addition of search function for proposal titles.,I think it would be convenient to be able to search for the proposer and search by country.,From the IDEASCALE site (IDEASCALE),Yes,5,既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet),5,4,"There were a lot of questions, and there were also descriptive questions that were difficult to answer.",From Yuta's tweet.,2
2022/03/23 1:13:21,"Fund 7, Fund 6, Fund 5, Fund 4","いいえ、投票だけです (No, I only vote.)",2カ国後で問題ないと思います,35 - 44,Yes,"In the future, we cannot understand all Catalyst contents, so if we can entrust it to the same person, the turnout will increase and we will agree.",Yes,6 - 20,Voted on the proposal from Japan,1 - 5,There is no specific background of the vote,Yes,30分以上 (more than 30 mins),4,No,一度もない (Never),5,1,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),I wonder if I really understand and evaluate the proposals.,50k - 100k,1,No,I am worried that the proposal recruitment rate by mass holders will be biased.,Yes,50,2,4,4,I am voting mainly on the Japanese community proposal.,Translation in the community is very helpful.,I want you to add a translation function and search function to the Catalyst app.,From the proposal PR Meet Up (Ideafest by Swarm),Yes,5,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,5,"I feel that voting needs further improvements, so I want you to continue in the future.",Notice in the Japanese community,2
2022/03/23 8:37:48,"Fund 7, Fund 6, Fund 5","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,,Yes,1 - 5,I voted for a project that I would like to realize,0,I didn't vote for projects that I didn't understand or were suspicious,NO,30分以上 (more than 30 mins),2,No,たまに (Rarely),2,2,いつも評価に従って投票している (I rely entirly on them),,100k - 500k,1,No,,Yes,30,1,3,4,Voted from the app,I think the usability of the app has improved than before,I want it to be written in Japanese,From the IDEASCALE site (IDEASCALE),No,0,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",3,3,,,3
2022/03/23 9:01:53,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",なし,55 - 64,Yes,,Yes,6 - 20,Look at Yuta's LINE community,0,Yuta's LINE community introduction,Yes,30分未満 (less than 30 mins),2,No,一度もない (Never),3,2,あまり参考にしていない (I don't pay too much attention to them. They are not very helpful.),,25k - 50k,1,No,,Yes,,1,3,1,iPhone,none,I want you to be Japanese,Yuta's LINE community,Yes,10,投票アプリの日本語対応 (Voting App localized (into Japanes)),3,4,none,Yuta's LINE community,3
2022/03/23 9:24:07,"Fund 7, Fund 6, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",日本語,25 - 34,Yes,It is better to need specialized knowledge,Yes,1 - 5,"Looking at the project content, voting where the future is likely",0,I didn't vote on the opposite,Yes,30分未満 (less than 30 mins),4,No,それなりに (Sometimes),4,3,いつも評価に従って投票している (I rely entirly on them),,回答を控えます (I prefer not to say),1,No,,Yes,,1,3,4,Vote a project that looks good after seeing the details,The UI of the app has improved,Japanese support,,Yes,2,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",5,3,,Twitter,1
2022/03/23 10:05:14,"Fund 7, Fund 6, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,55 - 64,No,,Yes,1 - 5,Japanese proposal,0,none,Yes,30分未満 (less than 30 mins),5,No,毎回 (Always),5,2,いつも評価に従って投票している (I rely entirly on them),,> 500k,1,No,,Yes,,1,5,5,From a smartphone,The screen is easier to understand,Japanese language support,I was told by other voters (from Other Voters),Yes,5,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,,,
2022/03/23 10:15:37,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",インド語,35 - 44,Yes,,Yes,6 - 20,Explanation in Japanese,0,Explanation in Japanese,Yes,5分未満 (less than 5 min),1,No,一度もない (Never),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,5000 - 9999,1,No,,Yes,30,2,2,4,Select while watching the explanation of how to vote on your smartphone and vote,The point that you can vote for the items you chose at once,Explanation in Japanese,From the proposal PR Meet Up (Ideafest by Swarm),Yes,7,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,2,"There was the same content in the Japanese translation, and there was a place where I did not know how to enter it.",I knew it with Ambassador Yuta,3
2022/03/23 10:33:56,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",,55 - 64,Yes,I think it is necessary to carefully determine the upper limit of the delegation amount per agent.,Yes,1 - 5,"We have determined based on the benefits of the development and spread of Cardano, but we are worried that the language barrier has been large and can be made properly.",0,"I would like to vote in the opposite votes for things with thin content and fraudulent things, but I did not have enough language skills to judge.",Yes,5分未満 (less than 5 min),3,No,それなりに (Sometimes),5,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,回答を控えます (I prefer not to say),1,No,,Yes,60,1,4,3,mobile phone,You can search,Japanese language support,"(IDEASCALE) (Directly from The Proposer), from the proposer (from other voters) (from Other Voters)",Yes,2,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",4,3,,Information in the community,2
2022/03/23 10:36:43,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,What criteria will a reliable agent select?,Yes,6 - 20,See information about Cardano's open chat and Internet,0,I didn't get the opposite vote because there was no other information.,Yes,5分未満 (less than 5 min),3,Yes,一度もない (Never),5,2,あまり参考にしていない (I don't pay too much attention to them. They are not very helpful.),Now I know that there is a community advertiser.,> 500k,1,Yes,It is a risk that a group of people with the destruction of the Cardano community will vote in a group that promotes destruction,たぶん (Maybe),60,2,3,4,He installs catalyst apps on his smartphone and votes by looking at each group proposal.,It must be grouped in detail.,Please translate Japanese.,Introduced by other voters (from Other Voters) and open chat,Yes,7,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",4,3,"I hope that this questionnaire will be easier to understand the catalyst votes, the barriers that you can participate in will decrease, and you will be able to vote more easily.",From the open chat link,2
2022/03/23 11:52:38,"Fund 7, Fund 6, Fund 5, Fund 4","いいえ、投票だけです (No, I only vote.)",いいえ,55 - 64,Yes,"I have no language skills and technical understanding, and I am looking at the reports compiled by others, so I only see a few suggestions. With DREP, I think it will be possible to vote for truly necessary items proposed from various countries and regions.",Yes,6 - 20,"Looking at the reports compiled by others, we voted mainly on proposals from Japanese people.",0,I didn't particularly oppose proposals from Japanese people.,Yes,30分未満 (less than 30 mins),4,Yes,たまに (Rarely),5,3,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),I guess that CA is not a completely neutral opinion or evaluation.,100k - 500k,1,No,It may not always match Cardano's deep understanding and affection.,Yes,90,1,4,3,We voted mainly on reports compiled by others.,"In each category, I feel that it was something smooth and easy to see.",I am grateful that it is easy to use without knowing it.,"(IDEASCALE), other voters taught (from other voters), reports compiled by other people",Yes,7,自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other),5,5,How do you catch the weight of one vote (1 person to 1ada = 1 vote)?,"Cardano LINE, Twitter",5
2022/03/23 12:23:34,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",中国語,45 - 54,No,I'm worried that the voting may be biased.,Yes,1 - 5,"First, I looked at the evaluation and chose something that looks good.",0,"In particular, I have not selected the opposition votes.",Yes,30分未満 (less than 30 mins),3,No,たまに (Rarely),3,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),Nothing in particular,100k - 500k,1,No,I don't particularly consider the problem.,たぶん (Maybe),180,2,3,3,To what you think is good with first impression,Nothing in particular.,I hope I can convert the language.,I was told by other voters (from Other Voters),Yes,2,投票アプリの日本語対応 (Voting App localized (into Japanes)),4,4,It was better to be selected.,Uta's LINE group,3
2022/03/23 13:12:10,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,,Yes,1 - 5,LINE,0,LINE,Yes,5分未満 (less than 5 min),2,No,たまに (Rarely),3,3,いつも評価に従って投票している (I rely entirly on them),,> 500k,1,No,,Yes,120,1,4,1,cell phone,nothing special,nothing special,I was told by other voters (from Other Voters),Yes,4,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,3,,Open chat,3
2022/03/23 14:23:13,"Fund 6, Fund 5","いいえ、投票だけです (No, I only vote.)",ありません。,25 - 34,Yes,I think it's innovative.,No,0,none,0,none,NO,5分未満 (less than 5 min),3,No,それなりに (Sometimes),4,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),Thank you if it is easy to understand,25k - 50k,1,No,I think it's good,Yes,60,2,3,,cell phone,nothing in special,nothing in special,I knew directly from the proposer from the proposer,No,0,"既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",4,4,,Yuta's tweet,4
2022/03/23 14:45:27,"Fund 7, Fund 6, Fund 5, Fund 4","いいえ、投票だけです (No, I only vote.)",特にない。,45 - 54,Yes,"At the moment, I think that there are many pre -chains that have not been able to vote for the proposals well, so I think this is a good attempt.",Yes,1 - 5,somehow,0,none,Yes,5分未満 (less than 5 min),2,No,一度もない (Never),3,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,> 500k,1,No,The risk is great because there is a history of voting as appropriate as the voting of the Supreme Court.,たぶん (Maybe),60,2,3,2,From catalysts,QR,I want you to make it easier to understand if the voting right is completed,From the IDEASCALE site (IDEASCALE),Yes,4,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,4,,LINE,2
2022/03/23 16:56:21,Fund 7,"いいえ、投票だけです (No, I only vote.)",,25 - 34,Yes,I think it is effective if you can't vote for any reason,Yes,1 - 5,Clarity of business content,0,There was nothing to disagree,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),5分未満 (less than 5 min),3,No,一度もない (Never),5,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,回答を控えます (I prefer not to say),1,No,I feel that it is dangerous for people who are ignorant to depend on the amount of ADA,Yes,,2,3,3,See the project content,I don't understand the improvement,Broadcast time reduction,I was told by other voters (from Other Voters),そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),0,投票アプリの仕様改善 (Voting App UX improvements),4,3,I feel meaningful,LINE open chat,2
2022/03/23 17:33:09,"Fund 7, Fund 6, Fund 5, Fund 4","いいえ、投票だけです (No, I only vote.)",,45 - 54,No,,Yes,1 - 5,That's why Japanese suggestions.,0,I knew it,Yes,30分以上 (more than 30 mins),3,No,それなりに (Sometimes),4,3,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),Is it sincere?,50k - 100k,1,No,I agree with that.,たぶん (Maybe),30,3,3,3,It is a smartphone.,I felt it was easy to understand because there was a preliminary explanation by the community.,"Easy to understand even for beginners, simple and concise",,Yes,3,投票アプリの日本語対応 (Voting App localized (into Japanes)),4,5,I think it's very kind and polite.,It is information of the delegation.,3
2022/03/23 17:54:52,"Fund 7, Fund 6","いいえ、投票だけです (No, I only vote.)",no,45 - 54,No,I just think that voting should be done by myself.,Yes,1 - 5,For what you think it's okay to check the contents from the app,1 - 5,Check the content and amount from the app and think that it was not suitable,Yes,5分未満 (less than 5 min),4,No,一度もない (Never),4,3,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),I think it is reasonable,回答を控えます (I prefer not to say),1,No,Reasonable,たぶん (Maybe),90,2,4,3,I don't understand the meaning of the question,Not particularly,1 Make multiple wallet votes from devices,From the app,Yes,1,既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet),4,3,There is something that I do not understand the intention of the question,LINE open chat,4
2022/03/23 19:03:05,"Fund 7, Fund 6, Fund 5, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,55 - 64,Yes,Good IDEA,Yes,1 - 5,"FUND OBJECTS, AMOUNT, FEASIBILITY",1 - 5,"Feasibility, Amount",Yes,5分未満 (less than 5 min),3,Yes,たまに (Rarely),4,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,25k - 50k,3つ以上 (3 or more),No,Reasonable,Yes,60,1,5,4,"Read Goal, Amount, Scedule",NO,Past Proposal,From the IDEASCALE site (IDEASCALE),Yes,1,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",3,4,,Mail from Ambassador,2
2022/03/23 21:26:51,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,"It is necessary, but I think it is important to create an incentive for voting and enlightenment.",Yes,1 - 5,I voted for a proposal that imagined a new mechanism unique to a blockchain.,0,is not,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),5分未満 (less than 5 min),1,Yes,たまに (Rarely),4,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),is not,回答を控えます (I prefer not to say),回答を控えます (prefer not to say),No,I can't imagine a specific case,Yes,60,1,4,5,Information is collected and decided as far as the Catalyst application can be traced.,It is easier to see the outline of the proposal from the app,"I want you to be able to refer to the expert's views on the Catalyst app as well as the outline of the proposal, so that you can vote.","From the iDeascale site (IDEASCALE) and Catalyst, it may have been the iDeascale site.",そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),0,"投票アプリの仕様改善 (Voting App UX improvements), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,4,It was a good opportunity to consider the voting system again.,Yuta's call,4
